epoch;loss;lr;mae;mse;val_loss;val_mae;val_mse
105;0.0008532876963727176;0.001;0.022725671529769897;0.0008532876963727176;0.0006890796357765794;0.02132909558713436;0.0006890796357765794
106;0.0007157173240557313;0.001;0.02087424322962761;0.0007157173240557313;0.0006306958384811878;0.02009718120098114;0.0006306958384811878
107;0.0007252749637700617;0.001;0.020776446908712387;0.0007252749637700617;0.0006456499104388058;0.019513394683599472;0.0006456499104388058
108;0.0007449495606124401;0.001;0.020691601559519768;0.0007449495606124401;0.0007673927466385067;0.020826201885938644;0.0007673927466385067
109;0.0008672169642522931;0.001;0.02167133428156376;0.0008672169642522931;0.001073454157449305;0.025257281959056854;0.001073454157449305
110;0.0010260187555104494;0.001;0.023620085790753365;0.0010260187555104494;0.0009031624649651349;0.022691205143928528;0.0009031624649651349
111;0.0008333344012498856;0.001;0.022864211350679398;0.0008333344012498856;0.0015036888653412461;0.031454622745513916;0.0015036888653412461
112;0.0010625958675518632;0.001;0.02594112977385521;0.0010625958675518632;0.0011204881593585014;0.02643677219748497;0.0011204881593585014
113;0.001158343511633575;0.001;0.024659108370542526;0.001158343511633575;0.0007541476516053081;0.0225349273532629;0.0007541476516053081
114;0.0008308158721774817;0.001;0.021774988621473312;0.0008308158721774817;0.0010454559233039618;0.026508187875151634;0.0010454559233039618
115;0.0008556492393836379;0.001;0.022451691329479218;0.0008556492393836379;0.0006699942168779671;0.02080352045595646;0.0006699942168779671
116;0.000764635915402323;0.001;0.020940981805324554;0.000764635915402323;0.0012816049857065082;0.02895980514585972;0.0012816049857065082
117;0.000883588392753154;0.001;0.02248273976147175;0.000883588392753154;0.0006184173980727792;0.019719095900654793;0.0006184173980727792
118;0.0008537123794667423;0.001;0.021398408338427544;0.0008537123794667423;0.0006754429778084159;0.02101318910717964;0.0006754429778084159
119;0.0007347446517087519;0.001;0.021074509248137474;0.0007347446517087519;0.0008048450108617544;0.02327532321214676;0.0008048450108617544
120;0.0007935859612189233;0.001;0.02180853672325611;0.0007935859612189233;0.0006275391788221896;0.02041478268802166;0.0006275391788221896
121;0.0007716823602095246;0.001;0.02120237983763218;0.0007716823602095246;0.0009256519260816276;0.02477271296083927;0.0009256519260816276
122;0.0008731657289899886;0.001;0.022016651928424835;0.0008731657289899886;0.0006713576731272042;0.021425722166895866;0.0006713576731272042
123;0.0007183185080066323;0.001;0.02018781006336212;0.0007183185080066323;0.000720566138625145;0.021463973447680473;0.000720566138625145
124;0.0007984486874192953;0.001;0.021610846742987633;0.0007984486874192953;0.0006576547748409212;0.020783748477697372;0.0006576547748409212
125;0.0006305208662524819;0.001;0.01886671781539917;0.0006305208662524819;0.0005524694570340216;0.018312592059373856;0.0005524694570340216
126;0.0006781817646697164;0.001;0.019827058538794518;0.0006781817646697164;0.0006331398617476225;0.01942240074276924;0.0006331398617476225
127;0.0005866503925062716;0.001;0.018317097797989845;0.0005866503925062716;0.0005937813548371196;0.01912013255059719;0.0005937813548371196
128;0.000656654650811106;0.001;0.019341440871357918;0.000656654650811106;0.0005905602592974901;0.018614180386066437;0.0005905602592974901
